STUDENT NUMBER,FINISHED ASSIGNMENT,SCORE MIDTERM 1,SCORE MIDTERM 2,SCORE FINAL
219372,TRUE,52,91,74
230740,FALSE,83,52,88
581149,TRUE,93,81,95
379140,TRUE,94,92,89
773010,FALSE,82,71,67
297305,TRUE,77,72,85
210726,TRUE,95,92,71
517017,FALSE,94,89,70
393664,TRUE,73,68,83
706829,FALSE,82,60,98
448222,TRUE,88,76,98
219109,FALSE,60,97,86
951786,FALSE,80,98,55
604845,TRUE,99,64,92
590944,TRUE,60,60,75
125428,FALSE,65,97,92
630768,FALSE,97,77,94
676673,FALSE,52,80,95
731919,TRUE,54,60,73
328384,TRUE,93,66,59
675522,FALSE,84,58,57
250323,FALSE,68,63,65
932978,TRUE,75,96,88
428204,TRUE,69,94,53
324372,TRUE,97,99,94
240226,FALSE,61,90,62
728919,TRUE,59,54,50
865056,FALSE,99,100,94
746496,FALSE,67,83,57
955364,TRUE,87,59,95
237998,TRUE,50,60,75
210850,FALSE,73,91,64
753816,FALSE,54,85,88
773023,FALSE,64,62,80
614835,TRUE,61,86,98
235477,TRUE,92,62,93
384418,TRUE,89,62,79
282466,FALSE,78,79,74
594247,TRUE,94,98,62
851409,FALSE,66,72,67
103339,TRUE,79,76,83
419781,TRUE,98,55,100
143192,FALSE,69,62,82
226336,FALSE,60,55,71
228138,FALSE,82,96,84
487384,FALSE,70,92,56
706857,TRUE,95,93,67
261521,TRUE,61,81,98
136171,TRUE,60,92,57
533202,TRUE,91,63,63
494899,FALSE,68,57,55
706773,TRUE,81,52,87
676314,FALSE,61,60,59
107158,TRUE,78,84,58
790739,FALSE,90,79,74
705238,FALSE,59,67,75
449469,TRUE,60,61,64
329935,TRUE,79,77,75
852198,TRUE,67,80,63
173856,TRUE,100,66,90
374966,TRUE,86,63,60
846854,FALSE,61,50,71
268286,FALSE,95,51,82
464569,TRUE,60,67,63
138733,FALSE,67,50,77
828534,FALSE,92,78,88
465182,TRUE,56,56,74
724332,FALSE,64,89,68
249304,TRUE,98,61,70
450926,TRUE,51,62,60
349530,TRUE,74,100,86
187342,FALSE,64,93,69
544268,FALSE,69,75,84
491144,FALSE,74,60,67
980298,FALSE,79,57,97
204152,FALSE,51,78,82
760972,TRUE,78,95,69
325452,TRUE,53,82,83
215992,TRUE,65,66,91
284758,FALSE,91,51,92
212549,FALSE,97,51,79
177668,TRUE,84,69,84
139557,FALSE,92,92,94
107138,TRUE,99,71,90
647130,TRUE,60,56,56
876360,FALSE,50,74,79
155058,FALSE,69,72,82
635173,FALSE,55,83,74
453962,TRUE,94,86,80
506255,TRUE,81,64,91
570778,FALSE,67,62,76
493877,FALSE,84,72,63
666981,FALSE,77,61,78
119005,TRUE,51,86,86
941755,TRUE,96,82,100
196486,FALSE,57,61,93
956945,TRUE,55,63,79
574587,FALSE,98,65,89
105459,TRUE,67,56,86
989353,FALSE,74,53,57
362395,FALSE,62,88,71
270511,TRUE,65,50,60
328229,TRUE,82,82,57
929834,TRUE,98,78,97
720402,TRUE,96,50,59
611214,TRUE,59,74,77
258477,TRUE,60,88,100
827085,FALSE,88,55,66
856250,FALSE,91,100,80
807774,FALSE,85,50,74
394649,FALSE,61,77,95
638499,TRUE,67,99,66
266329,TRUE,90,63,83
791082,TRUE,51,66,63
109028,TRUE,53,86,81
708714,FALSE,92,59,50
673936,TRUE,65,64,54
925537,TRUE,87,68,73
380011,TRUE,86,61,91
849869,TRUE,93,65,91
433354,FALSE,95,63,73
257061,TRUE,73,82,100
594599,FALSE,84,59,93
900728,TRUE,89,98,98
291557,FALSE,66,91,73
185157,FALSE,93,76,52
800441,FALSE,71,100,51
874163,TRUE,63,99,51
790964,FALSE,99,60,58
238744,TRUE,82,82,76
390482,FALSE,95,93,63
418790,TRUE,65,59,95
839417,FALSE,73,53,62
448998,FALSE,61,76,59
538839,TRUE,68,71,100
482096,TRUE,60,50,56
741270,TRUE,76,57,98
107270,FALSE,87,50,78
840148,FALSE,88,55,78
418309,TRUE,68,59,92
580295,FALSE,61,57,93
473965,TRUE,69,67,80
475827,TRUE,75,93,69
825820,FALSE,85,84,62
417488,FALSE,94,55,98
414279,TRUE,99,72,85
670616,FALSE,88,86,61
910678,TRUE,96,59,53
669239,TRUE,62,80,63
475230,TRUE,96,97,54
180140,TRUE,76,95,65
514436,FALSE,57,65,65
342213,TRUE,52,84,73
232776,TRUE,59,81,71
548104,FALSE,56,68,73
109107,TRUE,92,52,60
455472,TRUE,93,97,57
920349,TRUE,99,68,81
206765,FALSE,86,91,71
470389,TRUE,85,78,57
915682,FALSE,72,55,98
984073,FALSE,69,70,87
149344,FALSE,99,54,59
161568,FALSE,83,96,81
360152,FALSE,91,75,50
774747,FALSE,70,66,81
634613,FALSE,96,73,68
638690,FALSE,86,88,80
276840,TRUE,92,79,72
196146,TRUE,73,59,52
405365,TRUE,79,74,65
245727,FALSE,69,99,89
710610,FALSE,84,73,92
503736,TRUE,70,78,57
257096,TRUE,92,65,77
358543,TRUE,92,60,79
692896,TRUE,79,69,100
228116,FALSE,70,60,52
675489,FALSE,53,85,56
709128,FALSE,65,88,79
261158,FALSE,98,82,97
544664,TRUE,93,62,64
505359,FALSE,59,71,74
773878,TRUE,71,56,95
408542,TRUE,60,79,74
702038,TRUE,70,54,70
610973,FALSE,99,93,88
692341,FALSE,51,50,58
143082,FALSE,85,74,66
899519,FALSE,60,87,79
114197,TRUE,92,83,97
843126,FALSE,82,58,53
530430,FALSE,59,66,70
933892,FALSE,61,72,70
390579,TRUE,75,71,76
939329,TRUE,86,60,67
393445,FALSE,67,96,96
873899,FALSE,96,72,77
891910,TRUE,73,99,73
346038,TRUE,96,92,77
598106,TRUE,98,85,69
757552,TRUE,78,61,82
646196,FALSE,96,53,51
554074,FALSE,99,86,66
205923,FALSE,89,67,55
523552,TRUE,82,60,81
983475,FALSE,56,94,67
508133,TRUE,73,57,59
494619,TRUE,59,77,55
308531,FALSE,72,84,70
258345,FALSE,66,76,77
165105,FALSE,84,66,68
655586,FALSE,91,63,87
288512,FALSE,63,56,85
892642,FALSE,84,64,94
397760,TRUE,93,74,98
121298,FALSE,93,57,97
676115,TRUE,67,76,80
496027,FALSE,56,97,59
660482,TRUE,84,59,65
961687,FALSE,81,94,93
248338,TRUE,84,69,76
172646,FALSE,66,88,51
844877,FALSE,81,68,70
194380,FALSE,52,97,63
962091,FALSE,94,81,81
535858,FALSE,86,94,81
241492,TRUE,60,76,67
797733,FALSE,56,74,53
638572,TRUE,67,81,77
804122,TRUE,89,73,85
956283,FALSE,51,88,93
681195,TRUE,58,85,50
445553,FALSE,87,97,81
770819,FALSE,51,53,91
646740,FALSE,70,81,51
574658,FALSE,58,70,58
117690,FALSE,92,78,89
520145,FALSE,73,67,90
286850,FALSE,92,63,58
997541,FALSE,60,80,89
740781,FALSE,88,95,71
144162,FALSE,70,95,60
140281,TRUE,66,95,83
883207,TRUE,57,75,72
598593,TRUE,98,61,90
469924,FALSE,59,97,87
910739,TRUE,82,65,75
912520,TRUE,60,62,54
662896,TRUE,93,96,71
585713,FALSE,88,53,91
458518,FALSE,80,54,67
185843,FALSE,100,62,97
144177,TRUE,77,71,94
853225,FALSE,92,86,86
927435,TRUE,63,72,53
765266,FALSE,51,59,52
323852,TRUE,60,52,72
191677,FALSE,75,86,59
309189,TRUE,88,64,60
349030,TRUE,63,71,95
528322,FALSE,57,54,79
466378,FALSE,77,51,62
556393,FALSE,78,94,75
119896,FALSE,98,93,93
479035,FALSE,90,81,96
338003,FALSE,73,56,94
804724,FALSE,96,54,52
812800,FALSE,95,89,55
572060,TRUE,55,98,85
227498,TRUE,90,75,51
598589,FALSE,65,62,78
484181,TRUE,66,77,79
755695,TRUE,85,85,86
951692,FALSE,86,56,90
565140,TRUE,65,98,79
228704,TRUE,100,93,54
688623,TRUE,69,94,93
268637,TRUE,68,83,95
418785,FALSE,99,77,50
226144,FALSE,84,72,70
908671,TRUE,100,81,83
410017,TRUE,91,88,69
804648,FALSE,53,63,50
451917,FALSE,98,64,87
133701,TRUE,72,56,52
148962,FALSE,96,66,55
684750,TRUE,80,94,53
707871,FALSE,94,76,66
619268,TRUE,55,77,66
154457,TRUE,100,63,58
295048,FALSE,81,96,79
554103,FALSE,96,66,57
815886,FALSE,74,61,86
374429,FALSE,80,73,78
352261,FALSE,71,95,90
632393,FALSE,58,98,50
321987,FALSE,65,51,80
970516,FALSE,64,64,87
911107,TRUE,100,59,77
854510,TRUE,70,52,89
236774,TRUE,72,91,93
393720,TRUE,63,79,57
315171,FALSE,80,65,73
441931,TRUE,62,68,60
505239,FALSE,83,65,71
195434,TRUE,98,61,88
150826,TRUE,83,93,74
456835,FALSE,65,95,52
226845,FALSE,59,56,74
978189,FALSE,69,92,65
773380,FALSE,66,81,51
968127,FALSE,83,97,53
677204,TRUE,62,63,56
691121,TRUE,51,78,73
761854,TRUE,83,64,100
883774,FALSE,76,81,51
907910,TRUE,88,88,58
249931,FALSE,57,59,50
198015,TRUE,90,81,74
965441,FALSE,89,96,64
976067,FALSE,94,69,80
936338,TRUE,89,71,56
609075,TRUE,58,86,74
548700,FALSE,97,98,78
785702,TRUE,55,78,86
693989,FALSE,96,85,58
759119,FALSE,81,86,73
950922,TRUE,96,95,97
566454,FALSE,70,69,99
878671,TRUE,98,79,51
797558,FALSE,60,77,98
760277,FALSE,53,61,96
804771,FALSE,67,73,80
941874,FALSE,51,79,56
381934,FALSE,64,64,61
484651,TRUE,79,71,75
865039,TRUE,100,74,65
902353,TRUE,76,91,73
759719,FALSE,56,82,53
716829,FALSE,100,53,77
322002,FALSE,97,90,80
954442,FALSE,93,85,56
982996,FALSE,76,80,80
104991,TRUE,68,61,72
191278,TRUE,52,81,54
683250,FALSE,60,57,98
276059,TRUE,59,83,78
443847,TRUE,78,82,69
257434,TRUE,75,76,81
434056,FALSE,93,91,56
662866,TRUE,66,56,88
225598,TRUE,57,77,90
793115,TRUE,76,70,100
528959,TRUE,66,74,92
419060,TRUE,69,80,93
465792,FALSE,81,94,83
470606,TRUE,52,95,95
672635,TRUE,66,93,83
881438,FALSE,61,91,72
223559,FALSE,61,54,74
654027,FALSE,63,95,63
729730,FALSE,98,85,66
928766,TRUE,71,84,87
314804,FALSE,63,75,68
822881,FALSE,77,96,51
200011,FALSE,86,69,50
598527,FALSE,56,97,72
328054,TRUE,94,93,84
906725,FALSE,51,53,57
874181,TRUE,67,60,87
542191,FALSE,84,60,64
420081,TRUE,92,82,52
139270,TRUE,62,79,64
216281,TRUE,53,55,56
609568,FALSE,53,75,82
902669,TRUE,79,54,55
622256,FALSE,73,55,58
624551,TRUE,99,91,84
437105,TRUE,73,88,67
852521,TRUE,80,65,91
569498,TRUE,87,95,66
482826,TRUE,87,66,86
724370,TRUE,58,89,54
438587,TRUE,72,79,55
597506,TRUE,93,86,92
765676,FALSE,69,98,97
152926,FALSE,50,89,72
614654,FALSE,58,51,58
577507,TRUE,94,62,100
593788,TRUE,86,60,62
423389,FALSE,83,51,56
362262,TRUE,61,84,70
858527,FALSE,60,78,61
785765,FALSE,93,60,54
481936,TRUE,91,79,74
536406,TRUE,87,97,89
975336,TRUE,85,71,97
248450,FALSE,64,90,75
703903,FALSE,71,75,94
549679,FALSE,70,79,88
533444,TRUE,58,95,73
396223,FALSE,74,51,64
149274,TRUE,99,66,87
301204,TRUE,98,84,88
189947,TRUE,50,61,93
119499,TRUE,100,60,54
764277,FALSE,51,82,91
518418,FALSE,61,67,79
764847,TRUE,73,78,73
761119,TRUE,92,64,50
579195,TRUE,60,82,95
787186,TRUE,55,63,66
621958,TRUE,63,74,74
763965,TRUE,53,89,100
652193,TRUE,60,83,60
951019,FALSE,50,92,100
769559,FALSE,55,72,58
476123,FALSE,98,88,68
206277,FALSE,57,88,55
287565,FALSE,62,93,50
137358,TRUE,70,85,91
415039,TRUE,78,97,100
622563,FALSE,67,81,77
560407,FALSE,87,65,88
222006,FALSE,85,73,98
968746,TRUE,100,94,94
434100,FALSE,93,64,50
935042,TRUE,72,84,77
182513,FALSE,91,65,98
138169,FALSE,67,97,60
452658,FALSE,84,60,97
880892,FALSE,74,51,66
639855,FALSE,82,57,72
523263,FALSE,98,90,99
841970,FALSE,50,68,77
